Medal Table  Please click on a row below to view Medal Winners	
Rank	Country				Total
1	UnitedStates	7	14	5	26
2	Jamaica	6	2	2	10
3	Kenya	5	4	3	12
4	Germany	4	2	1	7
5	Russia	4	1	4	9
6	Ethiopia	3	3	4	10
7	GreatBritain&N.I.	3	1	3	7
8	Poland	2	1	0	3
9	Ukraine	2	0	2	4
10	CzechRepublic	2	0	1	3
11	PrOfChina	1	2	3	6
12	France	1	2	2	5
13	Colombia	1	0	0	1
13	Croatia	1	0	0	1
13	Ireland	1	0	0	1
13	NewZealand	1	0	0	1
13	Sweden	1	0	0	1
13	TrinidadAndTobago	1	0	0	1
13	Uganda	1	0	0	1
20	Australia	0	3	0	3
21	CoteD'ivoire	0	2	0	2
22	Canada	0	1	4	5
23	Cuba	0	1	2	3
24	Spain	0	1	1	2
24	Netherlands	0	1	1	2
24	Nigeria	0	1	1	2
27	Botswana	0	1	0	1
27	Finland	0	1	0	1
27	Hungary	0	1	0	1
27	Italy	0	1	0	1
27	Qatar	0	1	0	1
32	Serbia	0	0	2	2
33	Djibouti	0	0	1	1
33	DominicanRepublic	0	0	1	1
33	Estonia	0	0	1	1
33	Japan	0	0	1	1
33	Mexico	0	0	1	1
33	Portugal	0	0	1	1
33	SouthAfrica	0	0	1	1
